date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:53:06	24236/24236	---M-Z	200	added ('OK')	text/html	etag:%225eac-64d7bc49-843539eab9764cc8;gz%22	https://vrlexpress.in/aboutus.html	C:/My%20Web%20Sites1/packersmovers/vrlexpress.in/aboutus.html	(from )
17:53:07	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Jan%202025%2012:23:06%20GMT	https://vrlexpress.in/robots.txt		(from )
17:53:07	9696/9696	---M-Z	200	added ('OK')	text/css	etag:%2225e0-64d7bc48-a62b76e54b540e63;gz%22	https://vrlexpress.in/boilerplate.css	C:/My%20Web%20Sites1/packersmovers/vrlexpress.in/boilerplate.css	(from https://vrlexpress.in/aboutus.html)
17:53:07	8851/8851	---M-Z	200	added ('OK')	text/css	etag:%222293-64d7bc44-c9fbb4c8e2fb6d89;gz%22	https://vrlexpress.in/stylesheet.css	C:/My%20Web%20Sites1/packersmovers/vrlexpress.in/stylesheet.css	(from https://vrlexpress.in/aboutus.html)
17:53:07	14512/14512	---M-Z	200	added ('OK')	text/css	etag:%2238b0-64d7bc43-c73071a9a6a466f6;gz%22	https://vrlexpress.in/stylesheet2.css	C:/My%20Web%20Sites1/packersmovers/vrlexpress.in/stylesheet2.css	(from https://vrlexpress.in/aboutus.html)
17:53:08	15207/15207	---M--	200	added ('OK')	image/png	etag:%223b67-64d7bc5e-e80f14dd5fab3624;;;%22	https://vrlexpress.in/images/shortcut-logo.png	C:/My%20Web%20Sites1/packersmovers/vrlexpress.in/images/shortcut-logo.png	(from https://vrlexpress.in/aboutus.html)
17:53:08	2270/2270	---M-Z	200	added ('OK')	text/css	etag:%228de-64d7bc45-43bdbf15c02b0883;gz%22	https://vrlexpress.in/mycss.css	C:/My%20Web%20Sites1/packersmovers/vrlexpress.in/mycss.css	(from https://vrlexpress.in/aboutus.html)
17:53:08	2897/2897	---M-Z	200	added ('OK')	text/css	etag:%22b51-64d7bc4f-e0f31bb82d0548a2;gz%22	https://vrlexpress.in/rmm-css/responsivemobilemenu.css	C:/My%20Web%20Sites1/packersmovers/vrlexpress.in/rmm-css/responsivemobilemenu.css	(from https://vrlexpress.in/aboutus.html)
17:53:09	2607/2607	---M-Z	200	added ('OK')	application/javascript	etag:%22a2f-64d7bc4c-b36601375e1b896d;gz%22	https://vrlexpress.in/rmm-js/responsivemobilemenu.js	C:/My%20Web%20Sites1/packersmovers/vrlexpress.in/rmm-js/responsivemobilemenu.js	(from https://vrlexpress.in/aboutus.html)
17:53:10	95821/95821	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-1764d%22	http://code.jquery.com/jquery.min.js	C:/My%20Web%20Sites1/packersmovers/code.jquery.com/jquery.min.js	(from https://vrlexpress.in/aboutus.html)
